topic,cluster,centrality,frequency,pareto_score,Top20Percent
render react,1,1.0,0.0,0.7,True
render reactjs,1,0.976802369651824,0.0,0.6837616587562767,True
react packt,1,0.9756165736682929,0.0,0.682931601567805,True
react node,1,0.952320665328448,0.0,0.6666244657299135,True
introduction react,1,0.9434917433355026,0.0,0.6604442203348517,True
react https,1,0.8869977835771206,0.0,0.6208984485039843,True
machine learning,0,0.8275138641864239,0.0,0.5792597049304967,True
algorithms,0,0.8245834220447532,0.0,0.5772083954313272,True
classification,0,0.821553642881331,0.0,0.5750875500169317,True
data mining,0,0.8183995335862071,0.0,0.572879673510345,True
artificial intelligence,0,0.814307547249898,0.0,0.5700152830749285,True
clustering,0,0.8088507888460919,0.0,0.5661955521922643,True
neural networks,0,0.807898614898791,0.0,0.5655290304291537,True
data models,0,0.8039259812527952,0.0,0.5627481868769566,True
pattern classification,0,0.8024609190364724,0.0,0.5617226433255307,True
classifications machine,0,0.8005909896195565,0.0,0.5604136927336896,True
pattern recognition,0,0.7997520259880899,0.0,0.5598264181916629,True
language processing,0,0.7995403258745704,0.0,0.5596782281121992,True
classification tasks,0,0.7986324193847238,0.0,0.5590426935693067,True
computational intelligence,0,0.7982971304605603,0.0,0.5588079913223921,True
cluster analysis,0,0.7970115738432447,0.0,0.5579081016902713,True
database systems,0,0.7967488284797419,0.0,0.5577241799358194,True
classification training,0,0.7966350886488666,0.0,0.5576445620542065,True
architecture,0,0.7965865850710816,0.0,0.557610609549757,True
decision trees,0,0.7964994268952804,0.0,0.5575495988266963,True
classification problem,0,0.7963463970483391,0.0,0.5574424779338373,True
example classification,0,0.7960823808487372,0.0,0.557257666594116,True
optimizations,0,0.7952322974014028,0.0,0.5566626081809819,True
data reduction,0,0.7948716976582642,0.0,0.5564101883607848,True
neural network,0,0.7947357181956534,0.0,0.5563150027369573,True
intelligent data,0,0.7946287561573068,0.0,0.5562401293101147,True
computer architecture,0,0.7940171662845827,0.0,0.5558120163992079,True
computer networks,0,0.7938449679931456,0.0,0.5556914775952019,True
data flow,0,0.7936323147525517,0.0,0.5555426203267861,True
clustering discuss,0,0.7935328718277919,0.0,0.5554730102794543,True
classify,0,0.7934738838521889,0.0,0.5554317186965322,True
neural nets,0,0.7933897968636273,0.0,0.555372857804539,True
component analysis,0,0.7930664749793976,0.0,0.5551465324855783,True
results algorithms,0,0.7926528178291188,0.0,0.5548569724803831,True
knowledge discovery,0,0.7926487935148048,0.0,0.5548541554603633,True
clustering algorithms,0,0.7925755086330861,0.0,0.5548028560431603,True
efficient algorithms,0,0.7925118609251195,0.0,0.5547583026475836,True
clustering using,0,0.7925033886844584,0.0,0.5547523720791208,True
better classifier,0,0.7897092437144234,0.0,0.5527964706000964,True
reasoning systems,0,0.789452217113367,0.0,0.5526165519793569,True
popular supervised,0,0.7891773988069221,0.0,0.5524241791648454,True
model,0,0.7891198934734348,0.0,0.5523839254314044,True
deep learning,0,0.7888166931607752,0.0,0.5521716852125426,True
computer design,0,0.7887448909211723,0.0,0.5521214236448205,True
programming language,0,0.7885816943854376,0.0,0.5520071860698063,True
statistical learning,0,0.7882065859301669,0.0,0.5517446101511168,True
logic computer,0,0.7876779181129134,0.0,0.5513745426790394,True
computational problems,0,0.786576209117944,0.0,0.5506033463825608,True
decision tree,0,0.7863405749245568,0.0,0.5504384024471897,True
improving classification,0,0.7861145779049216,0.0,0.5502802045334451,True
web based,0,0.7860942445273349,0.0,0.5502659711691343,True
mining algorithm,0,0.7860809007482937,0.0,0.5502566305238056,True
data collection,0,0.7859423796134845,0.0,0.5501596657294391,True
graphical models,0,0.7858493967722288,0.0,0.5500945777405601,True
structured data,0,0.7858031171576174,0.0,0.5500621820103322,True
association analysis,0,0.785782042458973,0.0,0.5500474297212811,True
based clustering,0,0.7855457728475361,0.0,0.5498820409932752,True
evaluation classification,0,0.7853682794056859,0.0,0.5497577955839801,True
principles computer,0,0.7852910761126615,0.0,0.549703753278863,True
supervised clustering,0,0.7846542813239706,0.0,0.5492579969267795,True
algorithms msa,0,0.7841764469506838,0.0,0.5489235128654786,True
training classifier,0,0.7834962319286047,0.0,0.5484473623500232,True
computer science,0,0.7832625039893663,0.0,0.5482837527925564,True
structured program,0,0.7829972169536652,0.0,0.5480980518675655,True
object modelling,0,0.7828279839464595,0.0,0.5479795887625216,True
bioinformatics,0,0.78280172000041,0.0,0.547961204000287,True
query processing,0,0.7825911848199814,0.0,0.5478138293739869,True
feature engineering,0,0.7825738167266261,0.0,0.5478016717086382,True
code generation,0,0.7818802579255058,0.0,0.547316180547854,True
dynamic programming,0,0.781814915769407,0.0,0.5472704410385848,True
text mining,0,0.7816875144504655,0.0,0.5471812601153258,True
learners analyze,0,0.7815504759577719,0.0,0.5470853331704403,True
object oriented,0,0.7813476716969465,0.0,0.5469433701878625,True
data warehouse,0,0.7812539475346331,0.0,0.5468777632742431,True
classification performance,0,0.780766793696619,0.0,0.5465367555876333,True
data warehousing,0,0.780763192994338,0.0,0.5465342350960366,True
linear algorithms,0,0.7806873664404211,0.0,0.5464811565082948,True
means clustering,0,0.7805724616764548,0.0,0.5464007231735183,True
concepts automated,0,0.7805479980815458,0.0,0.5463835986570821,True
introduction basic,0,0.7794781658920638,0.0,0.5456347161244446,True
active learning,0,0.7794483012437334,0.0,0.5456138108706133,True
vector machines,0,0.7791405471017184,0.0,0.5453983829712029,True
code representations,0,0.7790859011494543,0.0,0.545360130804618,True
networking,0,0.7789899530239672,0.0,0.545292967116777,True
clustering methods,0,0.7788913573232735,0.0,0.5452239501262914,True
ml library,0,0.7787990099000673,0.0,0.5451593069300471,True
techniques nlp,0,0.7784075923815239,0.0,0.5448853146670667,True
entity recognition,0,0.7784009204920034,0.0,0.5448806443444023,True
machine svm,0,0.7783748683519705,0.0,0.5448624078463793,True
area networks,0,0.7782377239562687,0.0,0.544766406769388,True
mining database,0,0.7781421994428146,0.0,0.5446995396099702,True
suppose classifiers,0,0.7780412738759391,0.0,0.5446288917131573,True
statistical,0,0.7779256277909149,0.0,0.5445479394536404,True
vector machine,0,0.7775544377469499,0.0,0.5442881064228648,True
implementation analysis,0,0.7774069148564383,0.0,0.5441848403995068,True
lexical analysis,0,0.7773284407273148,0.0,0.5441299085091204,True
performance given,0,0.7773200743896619,0.0,0.5441240520727633,True
formal reasoning,0,0.7771904491075469,0.0,0.5440333143752828,True
processing nlp,0,0.7770798863669194,0.0,0.5439559204568435,True
information science,0,0.7770110494115477,0.0,0.5439077345880834,True
cloud computing,0,0.7767613301180615,0.0,0.543732931082643,True
machine translation,0,0.7767265939313509,0.0,0.5437086157519456,True
pre processing,0,0.7763701244055347,0.0,0.5434590870838742,True
distance based,0,0.7763011815471548,0.0,0.5434108270830083,True
feature selection,0,0.7762897440222624,0.0,0.5434028208155837,True
fuzzy logic,0,0.7762720582198822,0.0,0.5433904407539175,True
clustering performance,0,0.7762597734709237,0.0,0.5433818414296465,True
proximity based,0,0.7762385928692709,0.0,0.5433670150084896,True
dynamic models,0,0.776220589357866,0.0,0.5433544125505061,True
domain knowledge,0,0.7762146587894032,0.0,0.5433502611525822,True
software product,0,0.7761914660305934,0.0,0.5433340262214154,True
advanced database,0,0.7760662886748255,0.0,0.5432464020723778,True
applications recurrent,0,0.7759052101992561,0.0,0.5431336471394792,True
learning tools,0,0.7755363500214729,0.0,0.542875445015031,True
belief networks,0,0.7754883759587293,0.0,0.5428418631711105,True
hierarchical clustering,0,0.7754226101905974,0.0,0.5427958271334181,True
intrusion detection,0,0.7754038653581348,0.0,0.5427827057506943,True
computer networking,0,0.775274769591061,0.0,0.5426923387137427,True
semi supervised,0,0.7751061720019049,0.0,0.5425743204013334,True
suppose svm,0,0.7746827717748658,0.0,0.542277940242406,True
decision diagrams,0,0.7745309068610153,0.0,0.5421716348027107,True
execution computer,0,0.7744131427158258,0.0,0.5420891999010781,True
language understanding,0,0.774167977251695,0.0,0.5419175840761864,True
software engineering,0,0.7741624702952652,0.0,0.5419137292066856,True
regression classification,0,0.7741370535732819,0.0,0.5418959375012973,True
database architectures,0,0.7741352532221414,0.0,0.5418946772554989,True
ideas bioinformatics,0,0.7740043571039271,0.0,0.541803049972749,True
data set,0,0.7739419802320597,0.0,0.5417593861624418,True
bayesian networks,0,0.7738982422896468,0.0,0.5417287696027527,True
advanced concepts,0,0.7738666831931841,0.0,0.5417066782352288,True
learning prml,0,0.7738596935946387,0.0,0.541701785516247,True
semantic web,0,0.7738378775749363,0.0,0.5416865143024554,True
algorithms perceptrons,0,0.7738175441973496,0.0,0.5416722809381447,True
document based,0,0.7735505627135163,0.0,0.5414853938994614,True
regression trees,0,0.7734427534511037,0.0,0.5414099274157725,True
learners,0,0.7733147167141126,0.0,0.5413203016998788,True
structure prediction,0,0.7732319005616503,0.0,0.5412623303931552,True
fuzzy reasoning,0,0.7730993099953039,0.0,0.5411695169967127,True
grammar representation,0,0.7730367213174199,0.0,0.5411257049221938,True
mining text,0,0.7728079708195698,0.0,0.5409655795736988,True
distributed architecture,0,0.772726955018248,0.0,0.5409088685127735,True
recognition tokens,0,0.7726062255888271,0.0,0.5408243579121789,True
association mining,0,0.7725150430987119,0.0,0.5407605301690983,True
information storage,0,0.7718749653167648,0.0,0.5403124757217354,True
various software,0,0.771858232641459,0.0,0.5403007628490213,True
compiler optimization,0,0.7718075051005007,0.0,0.5402652535703504,True
probabilistic perspective,0,0.7717114510720053,0.0,0.5401980157504037,True
introduction bioinformatics,0,0.7716421905046007,0.0,0.5401495333532205,True
applications bioinformatics,0,0.7715758952214274,0.0,0.5401031266549992,True
recurrent networks,0,0.7715440184159401,0.0,0.5400808128911581,True
genetic algorithms,0,0.771380292365164,0.0,0.5399662046556147,True
classification regression,0,0.7712127538060906,0.0,0.5398489276642634,True
evaluation pattern,0,0.7710214929731659,0.0,0.5397150450812161,True
recognition techniques,0,0.7708129699498943,0.0,0.539569078964926,True
architectural framework,0,0.7703779203919462,0.0,0.5392645442743623,True
unsupervised learning,0,0.7702722291896987,0.0,0.5391905604327891,True
inspired optimization,0,0.7700193328059646,0.0,0.5390135329641752,True
useful scenario,0,0.7699695583920806,0.0,0.5389786908744564,True
unified software,0,0.7698445928423291,0.0,0.5388912149896303,True
dimensional training,0,0.7698050910202466,0.0,0.5388635637141727,True
ensemble learning,0,0.7697139085301314,0.0,0.538799735971092,True
neural language,0,0.7694678958419344,0.0,0.538627527089354,True
data warehouses,0,0.7694407846718189,0.0,0.5386085492702731,True
models code,0,0.7693071350753898,0.0,0.5385149945527729,True
document representation,0,0.7692589492066297,0.0,0.5384812644446407,True
network protocols,0,0.7692225185717869,0.0,0.5384557630002508,True
means algorithm,0,0.7691860879369441,0.0,0.5384302615558608,True
optimization improves,0,0.7691768743752252,0.0,0.5384238120626575,True
classifying instruction,0,0.7691057075536718,0.0,0.5383739952875702,True
quality clustering,0,0.7690547682066969,0.0,0.5383383377446879,True
peer networks,0,0.7687905402010784,0.0,0.5381533781407548,True
graph mining,0,0.7682905720990645,0.0,0.537803400469345,True
machine machine,0,0.7681789503283544,0.0,0.537725265229848,True
memory hierarchy,0,0.7681237748610489,0.0,0.5376866424027342,True
perception classification,0,0.7681178442925861,0.0,0.5376824910048102,True
advanced computer,0,0.7680540906816112,0.0,0.5376378634771278,True
complexity expressiveness,0,0.7680395819694791,0.0,0.5376277073786353,True
vector selection,0,0.7680394760664708,0.0,0.5376276332465295,True
